Archive,EMA_Enabled,Task,Ground_Size,Seed,Strategy,Local_Search,Dive_Bound,Budget,Alpha,Objective_f(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
archive-95,False,facebook,1000,0,density_gap,False,True,6.0,0.95,307,0.2880091667175293,1,1,4
archive-95,False,facebook,1000,0,probing,False,False,6.0,0.95,307,0.2981081008911133,1,1,4
archive-95,False,facebook,1000,0,probing,False,True,6.0,0.95,307,0.32000136375427246,1,1,4
archive-96,True,facebook,1000,0,probing,False,False,6.0,0.95,307,0.3611438274383545,1,1,4
archive-95,False,facebook,1000,0,traditional,False,True,6.0,0.95,307,0.2409982681274414,1,1,4
archive-95,False,facebook,1000,0,volume_biased,False,True,6.0,0.95,307,0.25999879837036133,1,1,4
archive-95,False,facebook,1000,0,density_gap,False,True,7.0,0.95,335,0.39600110054016113,1,1,4
archive-95,False,facebook,1000,0,probing,False,False,7.0,0.95,335,0.45087671279907227,1,1,4
archive-95,False,facebook,1000,0,probing,False,True,7.0,0.95,335,0.37000393867492676,1,1,4
archive-96,True,facebook,1000,0,probing,False,False,7.0,0.95,335,0.4109373092651367,1,1,4
archive-95,False,facebook,1000,0,traditional,False,True,7.0,0.95,335,0.35558223724365234,1,1,4
archive-95,False,facebook,1000,0,volume_biased,False,True,7.0,0.95,335,0.37400126457214355,1,1,4
archive-95,False,facebook,1000,0,density_gap,False,True,8.0,0.95,366,0.5930054187774658,1,1,5
archive-95,False,facebook,1000,0,probing,False,False,8.0,0.95,366,0.6276233196258545,1,1,5
archive-95,False,facebook,1000,0,probing,False,True,8.0,0.95,366,0.8616073131561279,1,1,5
archive-96,True,facebook,1000,0,probing,False,False,8.0,0.95,366,0.6120648384094238,1,1,5
archive-95,False,facebook,1000,0,traditional,False,True,8.0,0.95,366,0.577003002166748,1,1,5
archive-95,False,facebook,1000,0,volume_biased,False,True,8.0,0.95,366,0.6060106754302979,1,1,5
archive-95,False,facebook,1000,0,density_gap,False,True,9.0,0.95,390,0.7397055625915527,1,1,6
archive-95,False,facebook,1000,0,probing,False,False,9.0,0.95,390,0.8193469047546387,1,1,6
archive-95,False,facebook,1000,0,probing,False,True,9.0,0.95,390,0.8250076770782471,1,1,6
archive-96,True,facebook,1000,0,probing,False,False,9.0,0.95,390,0.7229902744293213,1,1,6
archive-95,False,facebook,1000,0,traditional,False,True,9.0,0.95,390,0.8220095634460449,1,1,6
archive-95,False,facebook,1000,0,volume_biased,False,True,9.0,0.95,390,0.8330059051513672,1,1,6
archive-95,False,facebook,1000,0,density_gap,False,True,10.0,0.95,411,0.9506738185882568,1,1,7
archive-95,False,facebook,1000,0,probing,False,False,10.0,0.95,411,0.8319602012634277,1,1,7
archive-95,False,facebook,1000,0,probing,False,True,10.0,0.95,411,0.9990055561065674,1,1,7
archive-96,True,facebook,1000,0,probing,False,False,10.0,0.95,411,0.932666540145874,1,1,7
archive-95,False,facebook,1000,0,traditional,False,True,10.0,0.95,411,0.8996856212615967,1,1,7
archive-95,False,facebook,1000,0,volume_biased,False,True,10.0,0.95,411,0.8040037155151367,1,1,7
archive-95,False,facebook,1000,0,density_gap,False,True,11.0,0.95,429,1.3626775741577148,1,1,8
archive-95,False,facebook,1000,0,probing,False,False,11.0,0.95,429,1.3813090324401855,1,1,8
archive-95,False,facebook,1000,0,probing,False,True,11.0,0.95,429,1.6396989822387695,1,1,8
archive-96,True,facebook,1000,0,probing,False,False,11.0,0.95,429,1.4439797401428223,1,1,8
archive-95,False,facebook,1000,0,traditional,False,True,11.0,0.95,429,1.4216296672821045,1,1,8
archive-95,False,facebook,1000,0,volume_biased,False,True,11.0,0.95,429,1.4150054454803467,1,1,8
archive-95,False,facebook,1000,0,density_gap,False,True,12.0,0.95,441,1.6770107746124268,1,1,9
archive-95,False,facebook,1000,0,probing,False,False,12.0,0.95,441,1.679015874862671,1,1,9
archive-95,False,facebook,1000,0,probing,False,True,12.0,0.95,441,1.5820083618164062,1,1,9
archive-96,True,facebook,1000,0,probing,False,False,12.0,0.95,441,1.791832685470581,1,1,9
archive-95,False,facebook,1000,0,traditional,False,True,12.0,0.95,441,1.5761847496032715,1,1,9
archive-95,False,facebook,1000,0,volume_biased,False,True,12.0,0.95,441,1.6356325149536133,1,1,9
archive-95,False,facebook,1000,0,density_gap,False,True,13.0,0.95,448,64.28550148010254,16,1,9
archive-95,False,facebook,1000,0,probing,False,False,13.0,0.95,448,27.740691423416138,7,1,9
archive-95,False,facebook,1000,0,probing,False,True,13.0,0.95,448,27.271198511123657,7,1,9
archive-96,True,facebook,1000,0,probing,False,False,13.0,0.95,448,26.23582410812378,7,1,9
archive-95,False,facebook,1000,0,traditional,False,True,13.0,0.95,448,37.189342737197876,16,1,9
archive-95,False,facebook,1000,0,volume_biased,False,True,13.0,0.95,448,16.07573175430298,5,1,9
archive-95,False,facebook,1000,0,density_gap,False,True,14.0,0.95,462,56.92756414413452,16,1,10
archive-95,False,facebook,1000,0,probing,False,False,14.0,0.95,462,29.191835403442383,7,1,10
archive-95,False,facebook,1000,0,probing,False,True,14.0,0.95,462,28.297977924346924,7,1,10
archive-96,True,facebook,1000,0,probing,False,False,14.0,0.95,462,28.20944309234619,7,1,10
archive-95,False,facebook,1000,0,traditional,False,True,14.0,0.95,462,39.327073097229004,16,1,10
archive-95,False,facebook,1000,0,volume_biased,False,True,14.0,0.95,462,290.1895754337311,79,1,10
archive-95,False,facebook,1000,0,density_gap,False,True,15.0,0.95,478,312.9966924190521,79,1,10
archive-95,False,facebook,1000,0,probing,False,False,15.0,0.95,478,87.98307704925537,19,1,10
archive-95,False,facebook,1000,0,probing,False,True,15.0,0.95,478,84.61961507797241,19,1,10
archive-96,True,facebook,1000,0,probing,False,False,15.0,0.95,478,89.85028386116028,19,1,10
archive-95,False,facebook,1000,0,traditional,False,True,15.0,0.95,478,210.81308031082153,79,1,10
archive-95,False,facebook,1000,0,volume_biased,False,True,15.0,0.95,478,24.349839448928833,7,1,10
archive-95,False,facebook,1000,0,density_gap,False,True,16.0,0.95,489,222.84158277511597,55,1,11
archive-95,False,facebook,1000,0,probing,False,False,16.0,0.95,489,91.53740334510803,19,1,11
archive-95,False,facebook,1000,0,probing,False,True,16.0,0.95,489,77.39286804199219,19,1,11
archive-96,True,facebook,1000,0,probing,False,False,16.0,0.95,489,91.81036686897278,19,1,11
archive-95,False,facebook,1000,0,traditional,False,True,16.0,0.95,489,149.36951351165771,55,1,11
archive-95,False,facebook,1000,0,volume_biased,False,True,16.0,0.95,489,405.4670376777649,105,1,11
archive-95,False,facebook,1000,0,density_gap,False,True,17.0,0.95,495,214.3344008922577,59,1,11
archive-95,False,facebook,1000,0,probing,False,False,17.0,0.95,495,97.10655426979065,19,1,11
archive-95,False,facebook,1000,0,probing,False,True,17.0,0.95,495,82.68231749534607,19,1,11
archive-96,True,facebook,1000,0,probing,False,False,17.0,0.95,495,95.74135112762451,19,1,11
archive-95,False,facebook,1000,0,traditional,False,True,17.0,0.95,495,149.89343786239624,59,1,11
archive-95,False,facebook,1000,0,volume_biased,False,True,17.0,0.95,495,416.2416708469391,113,1,11
archive-95,False,facebook,1000,0,density_gap,False,True,18.0,0.95,506,304.5912868976593,84,1,12
archive-95,False,facebook,1000,0,probing,False,False,18.0,0.95,506,131.9185221195221,25,1,12
archive-95,False,facebook,1000,0,probing,False,True,18.0,0.95,506,109.69217538833618,25,1,12
archive-96,True,facebook,1000,0,probing,False,False,18.0,0.95,506,128.705463886261,25,1,12
archive-95,False,facebook,1000,0,traditional,False,True,18.0,0.95,506,211.48581194877625,84,1,12
archive-95,False,facebook,1000,0,volume_biased,False,True,18.0,0.95,506,365.2550859451294,93,1,12
archive-95,False,facebook,1000,0,density_gap,False,True,19.0,0.95,517,453.35802364349365,123,1,13
archive-95,False,facebook,1000,0,probing,False,False,19.0,0.95,517,171.85797929763794,31,1,13
archive-95,False,facebook,1000,0,probing,False,True,19.0,0.95,517,134.48674750328064,31,1,13
archive-96,True,facebook,1000,0,probing,False,False,19.0,0.95,517,164.34108233451843,31,1,13
archive-95,False,facebook,1000,0,traditional,False,True,19.0,0.95,517,319.1135425567627,123,1,13
archive-95,False,facebook,1000,0,volume_biased,False,True,19.0,0.95,517,365.73042941093445,95,1,13
archive-95,False,facebook,1000,0,density_gap,False,True,20.0,0.95,527,546.0538096427917,147,1,14
archive-95,False,facebook,1000,0,probing,False,False,20.0,0.95,527,202.9774146080017,35,1,14
archive-95,False,facebook,1000,0,probing,False,True,20.0,0.95,527,160.40947699546814,35,1,14
archive-96,True,facebook,1000,0,probing,False,False,20.0,0.95,527,188.70972442626953,35,1,14
archive-95,False,facebook,1000,0,traditional,False,True,20.0,0.95,527,375.65834522247314,147,1,14
archive-95,False,facebook,1000,0,volume_biased,False,True,20.0,0.95,527,572.1807889938354,143,1,14
archive-95,False,facebook,1000,0,density_gap,False,True,21.0,0.95,537,789.8657281398773,209,1,15
archive-95,False,facebook,1000,0,probing,False,False,21.0,0.95,537,330.2623085975647,56,1,15
archive-95,False,facebook,1000,0,probing,False,True,21.0,0.95,537,265.94235730171204,56,1,15
archive-96,True,facebook,1000,0,probing,False,False,21.0,0.95,537,311.9381294250488,56,1,15
archive-95,False,facebook,1000,0,traditional,False,True,21.0,0.95,537,568.0152189731598,209,1,15
archive-95,False,facebook,1000,0,volume_biased,False,True,21.0,0.95,537,520.5107471942902,122,1,15
archive-95,False,facebook,1000,0,density_gap,False,True,22.0,0.95,547,885.8516154289246,219,1,16
archive-95,False,facebook,1000,0,probing,False,False,22.0,0.95,547,301.9386348724365,56,1,16
archive-95,False,facebook,1000,0,probing,False,True,22.0,0.95,547,282.83872985839844,56,1,16
archive-96,True,facebook,1000,0,probing,False,False,22.0,0.95,547,326.99678444862366,56,1,16
archive-95,False,facebook,1000,0,traditional,False,True,22.0,0.95,547,619.383261680603,219,1,16
archive-95,False,facebook,1000,0,volume_biased,False,True,22.0,0.95,547,457.8659484386444,102,1,16
archive-95,False,facebook,1000,0,density_gap,False,True,23.0,0.95,554,1464.8166801929474,311,1,16
archive-95,False,facebook,1000,0,probing,False,False,23.0,0.95,554,505.7890238761902,90,1,16
archive-95,False,facebook,1000,0,probing,False,True,23.0,0.95,554,482.5797288417816,90,1,16
archive-96,True,facebook,1000,0,probing,False,False,23.0,0.95,554,552.806743144989,90,1,16
archive-95,False,facebook,1000,0,traditional,False,True,23.0,0.95,554,1034.2845520973206,311,1,16
archive-95,False,facebook,1000,0,volume_biased,False,True,23.0,0.95,554,759.1807546615601,158,1,16
archive-95,False,facebook,1000,0,density_gap,False,True,24.0,0.95,561,1409.2963182926178,298,1,17
archive-95,False,facebook,1000,0,probing,False,False,24.0,0.95,561,504.4154396057129,88,1,17
archive-95,False,facebook,1000,0,probing,False,True,24.0,0.95,561,491.2631995677948,88,1,17
archive-96,True,facebook,1000,0,probing,False,False,24.0,0.95,561,579.0243704319,88,1,17
archive-95,False,facebook,1000,0,traditional,False,True,24.0,0.95,561,1015.8757429122925,298,1,17
archive-95,False,facebook,1000,0,volume_biased,False,True,24.0,0.95,561,879.184396982193,166,1,17
archive-95,False,facebook,1000,0,density_gap,False,True,25.0,0.95,564,3906.7104732990265,752,1,17
archive-95,False,facebook,1000,0,probing,False,False,25.0,0.95,564,2834.0066928863525,856,1,17
archive-95,False,facebook,1000,0,probing,False,True,25.0,0.95,564,1385.4102654457092,246,1,17
archive-96,True,facebook,1000,0,probing,False,False,25.0,0.95,564,1559.5996148586273,256,1,17
archive-95,False,facebook,1000,0,traditional,False,True,25.0,0.95,564,2757.5120463371277,752,1,17
archive-95,False,facebook,1000,0,volume_biased,False,True,25.0,0.95,564,1062.858348608017,192,1,17
archive-95,False,facebook,1000,0,density_gap,False,True,26.0,0.95,576,4105.4981915950775,780,1,18
archive-95,False,facebook,1000,0,probing,False,False,26.0,0.95,576,3115.27147936821,903,1,18
archive-95,False,facebook,1000,0,probing,False,True,26.0,0.95,576,1447.3130521774292,240,1,18
archive-96,True,facebook,1000,0,probing,False,False,26.0,0.95,576,1447.3041949272156,252,1,18
archive-95,False,facebook,1000,0,traditional,False,True,26.0,0.95,576,2898.6575005054474,780,1,18
archive-95,False,facebook,1000,0,volume_biased,False,True,26.0,0.95,576,1291.6089618206024,224,1,18
archive-95,False,facebook,1000,0,density_gap,False,True,27.0,0.95,585,4669.853384256363,873,1,19
archive-95,False,facebook,1000,0,probing,False,False,27.0,0.95,585,3589.078364133835,1014,1,19
archive-95,False,facebook,1000,0,probing,False,True,27.0,0.95,585,1708.4754838943481,270,1,19
archive-96,True,facebook,1000,0,probing,False,False,27.0,0.95,585,1699.9259934425354,280,1,19
archive-95,False,facebook,1000,0,traditional,False,True,27.0,0.95,585,3359.238941669464,873,1,19
archive-95,False,facebook,1000,0,volume_biased,False,True,27.0,0.95,585,1283.262416601181,210,1,19
archive-95,False,facebook,1000,0,density_gap,False,True,28.0,0.95,585,5165.416136980057,923,1,20
archive-95,False,facebook,1000,0,probing,False,False,28.0,0.95,585,3824.3556826114655,1112,1,20
archive-95,False,facebook,1000,0,probing,False,True,28.0,0.95,585,1795.8888125419617,274,1,20
archive-96,True,facebook,1000,0,probing,False,False,28.0,0.95,585,1889.800173997879,294,1,20
archive-95,False,facebook,1000,0,traditional,False,True,28.0,0.95,585,3762.6720011234283,923,1,20
archive-95,False,facebook,1000,0,volume_biased,False,True,28.0,0.95,585,1310.9075486660004,200,1,20
archive-95,False,facebook,1000,0,density_gap,False,True,29.0,0.95,605,1634.5503067970276,202,1,19
archive-95,False,facebook,1000,0,probing,False,False,29.0,0.95,592,5879.349583864212,1818,1,20
archive-95,False,facebook,1000,0,probing,False,True,29.0,0.95,592,2634.5451583862305,376,1,20
archive-96,True,facebook,1000,0,probing,False,False,29.0,0.95,592,2721.416179895401,416,1,20
archive-95,False,facebook,1000,0,traditional,False,True,29.0,0.95,605,1264.2735781669617,202,1,19
archive-95,False,facebook,1000,0,volume_biased,False,True,29.0,0.95,592,1819.9623880386353,248,1,20
archive-95,False,facebook,1000,0,density_gap,False,True,30.0,0.95,611,1535.9577922821045,201,1,19
archive-95,False,facebook,1000,0,probing,False,False,30.0,0.95,602,6957.920043230057,2110,1,20
archive-95,False,facebook,1000,0,probing,False,True,30.0,0.95,602,3388.3421499729156,430,1,20
archive-96,True,facebook,1000,0,probing,False,False,30.0,0.95,602,3278.4586555957794,484,1,20
archive-95,False,facebook,1000,0,traditional,False,True,30.0,0.95,611,1210.8267278671265,201,1,19
archive-95,False,facebook,1000,0,volume_biased,False,True,30.0,0.95,602,2043.7824993133545,282,1,20
