Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
adult,111,0,BFSTC,,,,ub0,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,5000.833888053894,1568,5197.0,True,5
adult,111,0,BFSTC,,,,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,10.346725940704346,2,15.0,True,5
adult,111,0,BFSTC,,,,ub0,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,5000.152346611023,100,7659.0,True,6
adult,111,0,BFSTC,,,,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,10.518109798431396,2,15.0,True,6
adult,111,0,BFSTC,,,,ub0,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,5000.001331329346,79,7741.0,True,6
adult,111,0,BFSTC,,,,ub0,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,5000.611024618149,72,7663.0,True,7
adult,111,0,BFSTC,,,,ub0,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,5000.339027643204,71,7565.0,True,7
adult,111,0,BFSTC,,,,ub0,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,5000.696333169937,70,7472.0,True,8
adult,111,0,BFSTC,,,,ub0,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,5000.04350066185,67,7166.0,True,8
adult,111,0,BFSTC,,,,ub0,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,5000.481324911118,63,6767.0,True,9
adult,111,0,BFSTC,,,,ub0,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,5000.42738032341,60,6342.0,True,9
adult,111,0,BFSTC,,,,ub0,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,5000.388265609741,55,5806.0,True,10
adult,111,0,Efficient,,,,ub0,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,4.059131383895874,5,,False,5
adult,111,0,Efficient,,,,ub0,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.886663564213159,5000.302578210831,4620,,True,6
adult,111,0,Efficient,,,,ub0,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,9.075331449508667,8,,False,6
adult,111,0,Efficient,,,,ub0,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,5000.005207061768,4355,,True,7
adult,111,0,Efficient,,,,ub0,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,5000.3079216480255,4370,,True,7
adult,111,0,Efficient,,,,ub0,d,11.0,0.95,AdultIncomeFeatureSelection,8.83943887520972,10.568743844147996,5000.2500030994415,4602,,True,7
adult,111,0,Efficient,,,,ub0,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,5000.211980581284,4469,,True,8
adult,111,0,Efficient,,,,ub0,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,5000.011868953705,4380,,True,9
adult,111,0,Efficient,,,,ub0,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,2.6245009899139404,1,,False,9
adult,111,0,Efficient,,,,ub0,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.411698881418511,2.735062837600708,1,,False,10
adult,111,0,Efficient,,,,ub0,d,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,2.590358257293701,1,,False,10
adult,111,0,Efficient,,,,ub0,d,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,2.939413547515869,1,,False,10
adult,111,0,Efficient,,,,ub0,d,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.29820054180366,3.4548287391662598,1,,False,11
adult,111,0,Efficient,,,,ub0,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.617705430800736,2.878370523452759,1,,False,11
adult,111,0,Efficient,,,,ub0,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.953262403683915,2.9058876037597656,1,,False,11
adult,111,0,Efficient,,,,ub0,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.959359291110793,3.2185962200164795,1,,False,12
adult,111,0,Efficient,,,,ub0,d,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,3.3334317207336426,1,,False,11
adult,111,0,Efficient,,,,ub0,d,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.212261288897253,3.4334301948547363,1,,False,12
adult,111,0,Efficient,,,,ub0,d,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.53176617789433,3.458573341369629,1,,False,12
adult,111,0,Efficient,,,,ub0,d,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.86732315077751,4.064265966415405,1,,False,12
adult,111,0,Efficient,,,,ub0,d,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.917068426094765,3.018934488296509,1,,False,13
adult,111,0,Efficient,,,,ub0,d,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.028711625752727,3.096055269241333,1,,False,12
adult,111,0,Efficient,,,,ub0,d,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,27.078456901069984,3.380336284637451,1,,False,13
adult,111,0,Efficient,,,,ub0,d,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.397961790067065,3.710282564163208,1,,False,13
adult,111,0,Efficient,,,,ub0,d,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.73351876295024,3.5190248489379883,1,,False,13
adult,111,0,EfficientBFS,traditional,ub2,d,,,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,29.826914310455322,4,1.0,False,5
adult,111,0,EfficientBFS,traditional,ub2,d,,,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,57.684534311294556,17,1.0,False,6
adult,111,0,EfficientBFS,traditional,ub2,d,,,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,64.9264190196991,10,1.0,False,6
adult,111,0,EfficientBFS,traditional,ub2,d,,,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,142.312668800354,28,1.0,False,7
adult,111,0,EfficientBFS,traditional,ub2,d,,,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,18.349956512451172,1,1.0,False,7
adult,111,0,EfficientBFS,traditional,ub2,d,,,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,19.90412735939026,1,1.0,False,8
adult,111,0,EfficientBFS,traditional,ub2,d,,,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,19.883538961410522,1,1.0,False,8
adult,111,0,EfficientBFS,traditional,ub2,d,,,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,21.512009620666504,1,1.0,False,9
adult,111,0,EfficientBFS,traditional,ub2,d,,,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,21.248295783996582,1,1.0,False,9
adult,111,0,EfficientBFS,traditional,ub2,d,,,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,21.836876153945923,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,16.0,0.95,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,21.694297075271606,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,17.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,21.484901428222656,1,1.0,False,10
adult,111,0,EfficientBFS,traditional,ub2,d,,,18.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,21.610479593276978,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,21.990739583969116,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,22.18690013885498,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,21.923686742782593,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,22.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,21.162516013579996,21.938872575759888,1,1.0,False,11
adult,111,0,EfficientBFS,traditional,ub2,d,,,23.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,22.168612901006874,22.244831800460815,1,1.0,False,12
adult,111,0,EfficientBFS,traditional,ub2,d,,,24.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,23.21835817632413,23.465442895889282,1,1.0,False,13
adult,111,0,EfficientBFS,traditional,ub2,d,,,25.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,24.381011271025177,23.670976638793945,1,1.0,False,14
adult,111,0,EfficientBFS,traditional,ub2,d,,,26.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,25.54902939889454,22.921091079711914,1,1.0,False,15
adult,111,0,EfficientBFS,traditional,ub2,d,,,27.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,21.966617822647095,1,1.0,False,16
adult,111,0,EfficientBFS,traditional,ub2,d,,,28.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,26.940166766097178,22.836366891860962,1,1.0,False,16
adult,111,0,EfficientBFS,traditional,ub2,d,,,29.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,28.340889522352015,22.446210622787476,1,1.0,False,17
adult,111,0,EfficientBFS,traditional,ub2,d,,,30.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,29.816505101490996,22.61435079574585,1,1.0,False,18
