Source_File,Archive,Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size,Meta_Version,Meta_Created_UTC,Meta_Config_Path,Meta_Strategy_Raw,Flag_LocalSearch,Flag_Cascade,Flag_NoInherit,Flag_Adaptive,Adaptive_Ratio
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-11.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,11.0,0.98,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,5002.159638881683,65,4806.0,True,8,v1,2026-05-07T08:57:15.506965+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-12.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,12.0,0.98,AdultIncomeFeatureSelection,9.033520085766504,11.643041154330376,219.12661838531494,38,37.0,False,8,v1,2026-05-07T09:00:55.636741+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-13.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,13.0,0.98,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,11.387608528137207,1,0.0,False,9,v1,2026-05-07T09:01:07.988969+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-14.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,14.0,0.98,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,11.681405544281006,1,0.0,False,9,v1,2026-05-07T09:01:20.566454+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-15.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,15.0,0.98,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,12.121272325515747,1,0.0,False,10,v1,2026-05-07T09:01:33.709642+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-16.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,16.0,0.98,AdultIncomeFeatureSelection,9.182614484753786,15.32247523740667,11.909705877304077,1,0.0,False,10,v1,2026-05-07T09:01:46.608436+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-17.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,17.0,0.98,AdultIncomeFeatureSelection,9.210340371976184,16.248455266486403,12.075481176376343,1,0.0,False,10,v1,2026-05-07T09:01:59.639165+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-18.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,18.0,0.98,AdultIncomeFeatureSelection,9.210340371976184,17.782137483296598,12.606693267822266,1,0.0,False,11,v1,2026-05-07T09:02:13.226932+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-19.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,19.0,0.98,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,12.71200966835022,1,0.0,False,11,v1,2026-05-07T09:02:26.894354+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
..\result\archive-107\adult\111\0\BFSTC-none-ub2-d-20.0-0.98-AdultIncomeFeatureSelection.pckl,107,adult,111,0,BFSTC,none,ub2,d,20.0,0.98,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,12.662083148956299,1,0.0,False,11,v1,2026-05-07T09:02:40.515879+00:00,D:\subopt\result\archive-107\launcher-jobs\job_01_adult.json,none,False,False,False,False,0.4
