Source_File,Archive,Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size,Meta_Version,Meta_Created_UTC,Meta_Config_Path,Meta_Strategy_Raw,Flag_LocalSearch,Flag_Cascade,Flag_NoInherit,Flag_Adaptive,Adaptive_Ratio
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-6.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,5000.833888053894,1568,5197,True,5,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-7.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,5000.152346611023,100,7659,True,6,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-8.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,5000.001331329346,79,7741,True,6,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-9.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,5000.611024618149,72,7663,True,7,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-10.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,5000.339027643204,71,7565,True,7,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-11.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,5000.696333169937,70,7472,True,8,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-12.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,5000.04350066185,67,7166,True,8,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-13.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,13.0,0.95,AdultIncomeFeatureSelection,9.04398504864179,12.588479899497141,5000.481324911118,63,6767,True,9,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-14.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,5000.42738032341,60,6342,True,9,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\BFSTC-none-ub0-d-15.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,BFSTC,,ub0,d,15.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,14.895635822911448,5000.388265609741,55,5806,True,10,v1,,,,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub0-d-11.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub0,d,11.0,0.95,AdultIncomeFeatureSelection,8.83943887520972,10.568743844147996,123.36709833145142,106,1,False,7,v1,,,traditional,False,False,False,False,0.4
..\result\archive-109\adult\0\111\EfficientBFS-traditional-ub0-d-12.0-0.95-AdultIncomeFeatureSelection.json,109,adult,111,0,EfficientBFS,traditional,ub0,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,321.75959038734436,257,1,False,8,v1,,,traditional,False,False,False,False,0.4
