Archive,EMA_Enabled,Task,Ground_Size,Seed,Strategy,Local_Search,Dive_Bound,Budget,Alpha,Objective_f(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
archive-95,False,facebook,1000,0,density_gap,False,True,6.0,0.95,307,0.2880091667175293,1,1,4
archive-97,False,facebook,1000,0,density_gap,False,False,6.0,0.95,307,0.2840077877044678,1,1,4
archive-97,False,facebook,1000,0,injection,False,False,6.0,0.95,307,0.4080839157104492,1,1,4
archive-95,False,facebook,1000,0,probing,False,False,6.0,0.95,307,0.2981081008911133,1,1,4
archive-95,False,facebook,1000,0,probing,False,True,6.0,0.95,307,0.32000136375427246,1,1,4
archive-97,False,facebook,1000,0,probing,False,False,6.0,0.95,307,0.2360520362854004,1,1,4
archive-95,False,facebook,1000,0,traditional,False,True,6.0,0.95,307,0.2409982681274414,1,1,4
archive-97,False,facebook,1000,0,traditional,False,False,6.0,0.95,307,0.25186753273010254,1,1,4
archive-95,False,facebook,1000,0,volume_biased,False,True,6.0,0.95,307,0.25999879837036133,1,1,4
archive-97,False,facebook,1000,0,volume_biased,False,False,6.0,0.95,307,0.2354578971862793,1,1,4
archive-95,False,facebook,1000,0,density_gap,False,True,7.0,0.95,335,0.39600110054016113,1,1,4
archive-97,False,facebook,1000,0,density_gap,False,False,7.0,0.95,335,0.34629201889038086,1,1,4
archive-97,False,facebook,1000,0,injection,False,False,7.0,0.95,335,0.4397420883178711,1,1,4
archive-95,False,facebook,1000,0,probing,False,False,7.0,0.95,335,0.45087671279907227,1,1,4
archive-95,False,facebook,1000,0,probing,False,True,7.0,0.95,335,0.37000393867492676,1,1,4
archive-97,False,facebook,1000,0,probing,False,False,7.0,0.95,335,0.3764650821685791,1,1,4
archive-95,False,facebook,1000,0,traditional,False,True,7.0,0.95,335,0.35558223724365234,1,1,4
archive-97,False,facebook,1000,0,traditional,False,False,7.0,0.95,335,0.29918766021728516,1,1,4
archive-95,False,facebook,1000,0,volume_biased,False,True,7.0,0.95,335,0.37400126457214355,1,1,4
archive-97,False,facebook,1000,0,volume_biased,False,False,7.0,0.95,335,0.3976707458496094,1,1,4
archive-95,False,facebook,1000,0,density_gap,False,True,8.0,0.95,366,0.5930054187774658,1,1,5
archive-97,False,facebook,1000,0,density_gap,False,False,8.0,0.95,366,0.6120731830596924,1,1,5
archive-97,False,facebook,1000,0,injection,False,False,8.0,0.95,366,0.6437745094299316,1,1,5
archive-95,False,facebook,1000,0,probing,False,False,8.0,0.95,366,0.6276233196258545,1,1,5
archive-95,False,facebook,1000,0,probing,False,True,8.0,0.95,366,0.8616073131561279,1,1,5
archive-97,False,facebook,1000,0,probing,False,False,8.0,0.95,366,0.6123216152191162,1,1,5
archive-95,False,facebook,1000,0,traditional,False,True,8.0,0.95,366,0.577003002166748,1,1,5
archive-97,False,facebook,1000,0,traditional,False,False,8.0,0.95,366,0.48729395866394043,1,1,5
