Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,30.450578212738037,5,1,5
adult,111,0,EfficientBFS,injection,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,20.85691785812378,6,1,5
adult,111,0,EfficientBFS,probing,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,31.492151021957397,5,1,5
adult,111,0,EfficientBFS,traditional,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,28.68075156211853,5,1,5
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,43.800312995910645,7,1,5
adult,111,0,EfficientBFS,density_gap,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,59.29402565956116,22,1,6
adult,111,0,EfficientBFS,injection,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,30.8690083026886,20,1,6
adult,111,0,EfficientBFS,probing,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,74.3712522983551,28,1,6
adult,111,0,EfficientBFS,traditional,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,64.6427960395813,22,1,6
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,173.58933925628662,59,1,6
adult,111,0,EfficientBFS,density_gap,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,64.86356806755066,13,1,6
adult,111,0,EfficientBFS,injection,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,46.716753005981445,8,1,6
adult,111,0,EfficientBFS,probing,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,89.03030061721802,13,1,6
adult,111,0,EfficientBFS,traditional,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,61.73984503746033,13,1,6
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,198.43999123573303,27,1,6
adult,111,0,EfficientBFS,density_gap,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,146.92538046836853,35,1,7
adult,111,0,EfficientBFS,injection,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,76.13369536399841,14,1,7
adult,111,0,EfficientBFS,probing,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,233.4943597316742,35,1,7
adult,111,0,EfficientBFS,traditional,False,ub2,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,140.3130955696106,35,1,7
