Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,ub2,d,,,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,29.113479375839233,5,1.0,False,5
adult,111,0,EfficientBFS,fullbab,ub2,d,,,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,37.45665621757507,12,1.0,False,5
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,30.124027013778687,4,1.0,False,5
adult,111,0,EfficientBFS,traditional,ub2,d,,,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,32.1396644115448,5,1.0,False,5
adult,111,0,EfficientBFS,density_gap,ub2,d,,,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,59.563825368881226,22,1.0,False,6
adult,111,0,EfficientBFS,fullbab,ub2,d,,,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,145.56495881080627,86,1.0,False,6
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,64.52678036689758,17,1.0,False,6
adult,111,0,EfficientBFS,traditional,ub2,d,,,7.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,6.999571383596946,54.6501784324646,22,1.0,False,6
adult,111,0,EfficientBFS,density_gap,ub2,d,,,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,64.32674765586853,13,1.0,False,6
adult,111,0,EfficientBFS,fullbab,ub2,d,,,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,137.14278531074524,40,1.0,False,6
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,59.28591322898865,7,1.0,False,6
adult,111,0,EfficientBFS,traditional,ub2,d,,,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,60.66512656211853,13,1.0,False,6
adult,111,0,EfficientBFS,density_gap,ub2,d,,,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,150.8396337032318,35,1.0,False,7
adult,111,0,EfficientBFS,fullbab,ub2,d,,,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,443.2455701828003,150,1.0,False,7
adult,111,0,EfficientBFS,look_ahead,ub2,d,,,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,159.03496646881104,29,1.0,False,7
adult,111,0,EfficientBFS,traditional,ub2,d,,,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,146.00421619415283,35,1.0,False,7
adult,111,0,EfficientBFS,density_gap,ub2,d,,,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.314617395401,1,1.0,False,7
adult,111,0,EfficientBFS,fullbab,ub2,d,,,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,18.651735067367554,1,1.0,False,7
