task,alpha,budget,algorithm,heuristic,aux_heuristic,node_count,time_s,tle
adult,0.95,6.0,BFSTC,ub0,ub0,1568.0,5000.833888053894,True
adult,0.95,6.0,EfficientBFS,ub0,ub0,4.0,6.7706687450408936,False
adult,0.95,6.0,EfficientBFS,ub2,ub2,4.0,33.25843644142151,False
adult,0.95,6.0,EfficientBranchAndBound,ub0,ub0,5.0,4.059131383895874,False
adult,0.95,7.0,BFSTC,ub0,ub0,100.0,5000.152346611023,True
adult,0.95,7.0,EfficientBFS,ub0,ub0,17.0,19.297731161117554,False
adult,0.95,7.0,EfficientBFS,ub2,ub2,17.0,65.35784959793091,False
adult,0.95,7.0,EfficientBranchAndBound,ub0,ub0,4620.0,5000.302578210831,True
adult,0.95,8.0,BFSTC,ub0,ub0,79.0,5000.001331329346,True
adult,0.95,8.0,EfficientBFS,ub0,ub0,11.0,11.893901824951172,False
adult,0.95,8.0,EfficientBFS,ub2,ub2,10.0,71.79880976676941,False
adult,0.95,8.0,EfficientBranchAndBound,ub0,ub0,8.0,9.075331449508667,False
adult,0.95,9.0,BFSTC,ub0,ub0,72.0,5000.611024618149,True
adult,0.95,9.0,EfficientBFS,ub0,ub0,33.0,38.33459711074829,False
adult,0.95,9.0,EfficientBFS,ub2,ub2,28.0,161.78727006912231,False
adult,0.95,9.0,EfficientBranchAndBound,ub0,ub0,4355.0,5000.005207061768,True
adult,0.95,10.0,BFSTC,ub0,ub0,71.0,5000.339027643204,True
adult,0.95,10.0,EfficientBFS,ub2,ub0,1.0,20.531692266464233,False
adult,0.95,10.0,EfficientBranchAndBound,ub0,ub0,4370.0,5000.3079216480255,True
adult,0.95,11.0,BFSTC,ub0,ub0,70.0,5000.696333169937,True
adult,0.95,11.0,EfficientBFS,ub0,ub0,106.0,123.36709833145142,False
adult,0.95,11.0,EfficientBFS,ub2,ub0,1.0,18.412806749343872,False
adult,0.95,11.0,EfficientBranchAndBound,ub0,ub0,4602.0,5000.2500030994415,True
adult,0.95,12.0,BFSTC,ub0,ub0,67.0,5000.04350066185,True
adult,0.95,12.0,EfficientBFS,ub0,ub0,257.0,321.75959038734436,False
adult,0.95,12.0,EfficientBFS,ub2,ub0,1.0,17.984910249710083,False
adult,0.95,12.0,EfficientBranchAndBound,ub0,ub0,4469.0,5000.211980581284,True
adult,0.95,13.0,BFSTC,ub0,ub0,63.0,5000.481324911118,True
adult,0.95,13.0,EfficientBFS,ub0,ub0,450.0,584.5944859981537,False
adult,0.95,13.0,EfficientBFS,ub2,ub0,1.0,19.579992532730103,False
adult,0.95,13.0,EfficientBranchAndBound,ub0,ub0,4380.0,5000.011868953705,True
adult,0.95,14.0,BFSTC,ub0,ub0,60.0,5000.42738032341,True
adult,0.95,14.0,EfficientBFS,ub0,ub0,285.0,361.43227767944336,False
adult,0.95,14.0,EfficientBFS,ub2,ub0,1.0,19.13877558708191,False
adult,0.95,14.0,EfficientBranchAndBound,ub0,ub0,1.0,2.6245009899139404,False
adult,0.95,15.0,BFSTC,ub0,ub0,55.0,5000.388265609741,True
adult,0.95,15.0,EfficientBFS,ub0,ub0,14.0,23.35977554321289,False
adult,0.95,15.0,EfficientBFS,ub2,ub0,1.0,20.15168523788452,False
adult,0.95,15.0,EfficientBranchAndBound,ub0,ub0,1.0,2.735062837600708,False
adult,0.98,6.0,EfficientBFS,ub0,ub0,7.0,6.868666172027588,False
adult,0.98,6.0,EfficientBFS,ub2,ub2,7.0,39.49364614486694,False
adult,0.98,6.0,EfficientBranchAndBound,ub0,ub0,5.0,4.737768888473511,False
adult,0.98,7.0,EfficientBFS,ub0,ub0,33.0,32.48126149177551,False
adult,0.98,7.0,EfficientBFS,ub2,ub2,33.0,87.54660630226135,False
adult,0.98,8.0,EfficientBFS,ub0,ub0,19.0,22.163812160491943,False
adult,0.98,8.0,EfficientBFS,ub2,ub2,19.0,102.59349822998047,False
adult,0.98,9.0,EfficientBFS,ub0,ub0,74.0,96.47578859329224,False
adult,0.98,9.0,EfficientBFS,ub2,ub2,70.0,287.73315167427063,False
adult,0.98,10.0,EfficientBFS,ub0,ub0,100.0,139.72771620750427,False
adult,0.98,10.0,EfficientBFS,ub2,ub2,92.0,565.3218176364899,False
adult,0.98,11.0,EfficientBFS,ub0,ub0,251.0,392.3605320453644,False
adult,0.98,11.0,EfficientBFS,ub2,ub2,244.0,1642.773365497589,False
adult,0.98,12.0,EfficientBFS,ub0,ub0,646.0,1094.6115565299988,False
adult,0.98,12.0,EfficientBFS,ub2,ub2,1.0,23.285574197769165,False
adult,0.98,13.0,EfficientBFS,ub0,ub0,2039.0,3540.006281375885,False
adult,0.98,13.0,EfficientBFS,ub2,ub2,1.0,25.831265449523926,False
adult,0.98,14.0,EfficientBFS,ub0,ub0,2449.0,5000.179057836533,True
adult,0.98,14.0,EfficientBFS,ub2,ub2,1.0,23.481736660003662,False
adult,0.98,15.0,EfficientBFS,ub0,ub0,2390.0,5000.580172300339,True
adult,0.98,15.0,EfficientBFS,ub2,ub2,1.0,25.132205724716187,False
caltech,0.95,6.0,BFSTC,ub0,ub0,2.0,5025.898359537125,True
caltech,0.95,6.0,EfficientBFS,ub0,ub0,1.0,131.09548711776733,False
caltech,0.95,6.0,EfficientBFS,ub2,ub2,1.0,140.34486413002014,False
caltech,0.95,6.0,EfficientBranchAndBound,ub0,ub0,2.0,113.38921451568604,False
caltech,0.95,7.0,BFSTC,ub0,ub0,2.0,5043.798418998718,True
caltech,0.95,7.0,EfficientBFS,ub0,ub0,1.0,132.91153287887573,False
caltech,0.95,7.0,EfficientBFS,ub2,ub2,1.0,141.63864159584045,False
caltech,0.95,7.0,EfficientBranchAndBound,ub0,ub0,2.0,115.4036955833435,False
caltech,0.95,8.0,BFSTC,ub0,ub0,2.0,5053.851286411285,True
caltech,0.95,8.0,EfficientBFS,ub0,ub0,2.0,210.60321378707886,False
caltech,0.95,8.0,EfficientBFS,ub2,ub2,2.0,213.42177987098694,False
caltech,0.95,8.0,EfficientBranchAndBound,ub0,ub0,5.0,310.46209621429443,False
caltech,0.95,9.0,BFSTC,ub0,ub0,2.0,5008.398464441299,True
caltech,0.95,9.0,EfficientBFS,ub0,ub0,5.0,426.40137362480164,False
caltech,0.95,9.0,EfficientBFS,ub2,ub2,5.0,439.30768752098083,False
caltech,0.95,9.0,EfficientBranchAndBound,ub0,ub0,45.0,5000.034203290939,True
caltech,0.95,10.0,BFSTC,ub0,ub0,2.0,5053.353444337845,True
caltech,0.95,10.0,EfficientBranchAndBound,ub0,ub0,5.0,398.29548954963684,False
caltech,0.95,11.0,BFSTC,ub0,ub0,2.0,5014.831328392029,True
caltech,0.95,11.0,EfficientBFS,ub0,ub0,1.0,143.09300875663757,False
caltech,0.95,11.0,EfficientBFS,ub2,ub0,1.0,143.51577353477478,False
caltech,0.95,11.0,EfficientBranchAndBound,ub0,ub0,2.0,112.31951403617859,False
caltech,0.95,12.0,BFSTC,ub0,ub0,2.0,5058.186357498169,True
caltech,0.95,12.0,EfficientBFS,ub0,ub0,1.0,142.34655833244324,False
caltech,0.95,12.0,EfficientBFS,ub2,ub0,1.0,148.6465950012207,False
caltech,0.95,12.0,EfficientBranchAndBound,ub0,ub0,2.0,115.1003029346466,False
caltech,0.95,13.0,BFSTC,ub0,ub0,2.0,5038.1527597904205,True
caltech,0.95,13.0,EfficientBFS,ub0,ub0,3.0,284.71293020248413,False
caltech,0.95,13.0,EfficientBFS,ub2,ub0,1.0,147.56947588920593,False
caltech,0.95,13.0,EfficientBranchAndBound,ub0,ub0,3.0,227.5134527683258,False
caltech,0.95,14.0,BFSTC,ub0,ub0,2.0,5022.399919509888,True
caltech,0.95,14.0,EfficientBFS,ub0,ub0,9.0,711.3279945850372,False
caltech,0.95,14.0,EfficientBFS,ub2,ub0,7.0,554.0373871326447,False
caltech,0.95,14.0,EfficientBranchAndBound,ub0,ub0,51.0,5000.38041973114,True
caltech,0.95,15.0,BFSTC,ub0,ub0,2.0,5038.508911371231,True
caltech,0.95,15.0,EfficientBFS,ub0,ub0,3.0,269.100058555603,False
caltech,0.95,15.0,EfficientBFS,ub2,ub0,1.0,142.50963759422302,False
caltech,0.95,15.0,EfficientBranchAndBound,ub0,ub0,3.0,237.47655272483826,False
caltech,0.98,6.0,EfficientBFS,ub0,ub0,1.0,237.69899797439575,False
caltech,0.98,6.0,EfficientBFS,ub2,ub2,1.0,228.08022117614746,False
caltech,0.98,7.0,EfficientBFS,ub0,ub0,1.0,224.99990940093994,False
caltech,0.98,7.0,EfficientBFS,ub2,ub2,1.0,229.79755854606628,False
caltech,0.98,8.0,EfficientBFS,ub0,ub0,15.0,1322.1052973270416,False
caltech,0.98,8.0,EfficientBFS,ub2,ub2,15.0,1333.0701954364777,False
caltech,0.98,9.0,EfficientBFS,ub0,ub0,23.0,1971.6603236198425,False
caltech,0.98,9.0,EfficientBFS,ub2,ub2,22.0,2121.1033453941345,False
caltech,0.98,10.0,EfficientBFS,ub0,ub0,15.0,1287.8997838497162,False
caltech,0.98,10.0,EfficientBFS,ub2,ub2,14.0,1168.5586125850677,False
caltech,0.98,11.0,EfficientBFS,ub0,ub0,7.0,587.6182870864868,False
caltech,0.98,11.0,EfficientBFS,ub2,ub2,6.0,533.5463361740112,False
caltech,0.98,12.0,EfficientBFS,ub0,ub0,6.0,523.9955570697784,False
