task,alpha,budget,algorithm,heuristic,aux_heuristic,series_label,node_count,tle
adult,0.95,6.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,1568.0,True
adult,0.95,6.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,4.0,False
adult,0.95,6.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,4.0,False
adult,0.95,6.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,5.0,False
adult,0.95,7.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,100.0,True
adult,0.95,7.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,17.0,False
adult,0.95,7.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,17.0,False
adult,0.95,7.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,4620.0,True
adult,0.95,8.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,79.0,True
adult,0.95,8.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,11.0,False
adult,0.95,8.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,10.0,False
adult,0.95,8.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,8.0,False
adult,0.95,9.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,72.0,True
adult,0.95,9.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,33.0,False
adult,0.95,9.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,28.0,False
adult,0.95,9.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,4355.0,True
adult,0.95,10.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,71.0,True
adult,0.95,10.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
adult,0.95,10.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,4370.0,True
adult,0.95,11.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,70.0,True
adult,0.95,11.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,106.0,False
adult,0.95,11.0,EfficientBFS,ub2,ub2,EfficientBFS  ub2/ub2,1.0,False
adult,0.95,11.0,EfficientBranchAndBound,ub0,ub0,EBB  ub0/ub0,4602.0,True
adult,0.95,12.0,BFSTC,ub0,ub0,BFSTC  ub0/ub0,67.0,True
adult,0.95,12.0,EfficientBFS,ub0,ub0,EfficientBFS  ub0/ub0,257.0,False
