Archive,Task,Ground_Size,Algorithm,Strategy,UB,Alpha,Budget,Objective_f(S),Node_Count,Time_s,Cost_c(S),algo_label,series
108,adult,111,EfficientBFS,traditional,ub0,0.95,6.0,7.206554549128117,4.0,7.968271493911743,5.836918288895902,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,7.0,7.3315920622964725,17.0,23.219542503356934,6.5967261949971885,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,8.0,8.120308338114878,11.0,16.39333152770996,7.606156453874604,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,9.0,8.270787166482998,33.0,46.11857867240906,8.93153812094754,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,10.0,8.655822627528229,50.0,78.89692950248718,9.30543439168037,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,11.0,8.83943887520972,106.0,163.42258858680725,10.568743844147996,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,12.0,8.97806831132171,257.0,438.2683193683624,11.263098232424204,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,13.0,9.07171093586419,450.0,763.2189116477966,12.4228122144929,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,14.0,9.15488859753139,285.0,472.3038854598999,13.361953606101252,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.95,15.0,9.210340371976184,14.0,30.71906566619873,14.2642442648075,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.98,6.0,7.206554549128117,7.0,8.781305313110352,5.836918288895902,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.98,7.0,7.3315920622964725,33.0,40.044071674346924,6.5967261949971885,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.98,8.0,8.120308338114878,19.0,28.905037879943848,7.606156453874604,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.98,9.0,8.270787166482998,74.0,117.68509340286255,8.93153812094754,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.98,10.0,8.728535326320129,100.0,177.86787295341492,9.56382029461844,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.98,11.0,8.83943887520972,251.0,383.3405976295471,10.568743844147996,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.98,12.0,9.016259161419393,646.0,1040.7369508743286,11.677459555483882,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub0,0.98,13.0,9.07171093586419,2039.0,3684.348559141159,12.4228122144929,EfficientBFS,EfficientBFS (ub0)
108,adult,111,EfficientBFS,traditional,ub2,0.95,6.0,7.206554549128117,4.0,46.15563178062439,5.836918288895902,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,7.0,7.3315920622964725,17.0,89.14255952835083,6.5967261949971885,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,8.0,8.120308338114878,10.0,94.63911175727844,7.606156453874604,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,9.0,8.270787166482998,28.0,211.68205976486206,8.93153812094754,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,10.0,8.655822627528229,1.0,24.05872106552124,9.30543439168037,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,11.0,8.783987100764925,1.0,26.203433752059937,10.630816058753307,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,12.0,8.97806831132171,1.0,25.429118633270264,11.263098232424204,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,13.0,9.04398504864179,1.0,28.333982229232788,12.588479899497141,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,14.0,9.15488859753139,1.0,28.318699598312378,13.361953606101252,EfficientBFS,EfficientBFS (ub2)
108,adult,111,EfficientBFS,traditional,ub2,0.95,15.0,9.15488859753139,1.0,27.73571252822876,14.895635822911448,EfficientBFS,EfficientBFS (ub2)
