Source_File,Archive,Task,Ground_Size,Seed,Algorithm,Strategy,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size,algo_label,series
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-6.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,6.0,0.95,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,7.968271493911743,4,1.0,False,5,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-7.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,7.0,0.95,AdultIncomeFeatureSelection,7.3315920622964725,6.5967261949971885,23.219542503356934,17,1.0,False,5,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-8.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,8.0,0.95,AdultIncomeFeatureSelection,8.120308338114878,7.606156453874604,16.39333152770996,11,1.0,False,6,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-9.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,9.0,0.95,AdultIncomeFeatureSelection,8.270787166482998,8.93153812094754,46.11857867240906,33,1.0,False,7,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-10.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,78.89692950248718,50,1.0,False,7,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-11.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,11.0,0.95,AdultIncomeFeatureSelection,8.83943887520972,10.568743844147996,163.42258858680725,106,1.0,False,7,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-12.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,12.0,0.95,AdultIncomeFeatureSelection,8.97806831132171,11.263098232424204,438.2683193683624,257,1.0,False,8,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-13.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,13.0,0.95,AdultIncomeFeatureSelection,9.07171093586419,12.4228122144929,763.2189116477966,450,1.0,False,8,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-14.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,14.0,0.95,AdultIncomeFeatureSelection,9.15488859753139,13.361953606101252,472.3038854598999,285,1.0,False,9,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-15.0-0.95-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,15.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,14.2642442648075,30.71906566619873,14,1.0,False,9,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-6.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,6.0,0.98,AdultIncomeFeatureSelection,7.206554549128117,5.836918288895902,8.781305313110352,7,1.0,False,5,EfficientBFS,EfficientBFS (ub0)
..\result\archive-108\adult\111\0\EfficientBFS-traditional-ub0-d-7.0-0.98-AdultIncomeFeatureSelection.pckl,108,adult,111,0,EfficientBFS,traditional,ub0,d,7.0,0.98,AdultIncomeFeatureSelection,7.3315920622964725,6.5967261949971885,40.044071674346924,33,1.0,False,5,EfficientBFS,EfficientBFS (ub0)
